Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (10 min)
E39 Stordabrua;SN48070;28.01.2022 13:00;7,7
E39 Stordabrua;SN48070;28.01.2022 13:10;7,1
E39 Stordabrua;SN48070;28.01.2022 13:20;8,2
E39 Stordabrua;SN48070;28.01.2022 13:30;8,2
E39 Stordabrua;SN48070;28.01.2022 13:40;7,9
E39 Stordabrua;SN48070;28.01.2022 13:50;7,8
E39 Stordabrua;SN48070;28.01.2022 14:00;9
E39 Stordabrua;SN48070;28.01.2022 14:10;10
E39 Stordabrua;SN48070;28.01.2022 14:20;12,6
E39 Stordabrua;SN48070;28.01.2022 14:30;12,6
E39 Stordabrua;SN48070;28.01.2022 14:40;11,3
E39 Stordabrua;SN48070;28.01.2022 14:50;10,8
E39 Stordabrua;SN48070;28.01.2022 15:00;11,4
E39 Stordabrua;SN48070;28.01.2022 15:10;11,4
E39 Stordabrua;SN48070;28.01.2022 15:20;9,2
E39 Stordabrua;SN48070;28.01.2022 15:30;9,2
E39 Stordabrua;SN48070;28.01.2022 15:40;8,6
E39 Stordabrua;SN48070;28.01.2022 15:50;8,4
E39 Stordabrua;SN48070;28.01.2022 16:00;8,8
E39 Stordabrua;SN48070;28.01.2022 16:10;9,4
E39 Stordabrua;SN48070;28.01.2022 16:20;12,8
E39 Stordabrua;SN48070;28.01.2022 16:30;13,6
E39 Stordabrua;SN48070;28.01.2022 16:40;14,4
E39 Stordabrua;SN48070;28.01.2022 16:50;14,4
E39 Stordabrua;SN48070;28.01.2022 17:00;13,8
E39 Stordabrua;SN48070;28.01.2022 17:10;13,8
E39 Stordabrua;SN48070;28.01.2022 17:20;11,5
E39 Stordabrua;SN48070;28.01.2022 17:30;13,6
E39 Stordabrua;SN48070;28.01.2022 17:40;13,6
E39 Stordabrua;SN48070;28.01.2022 17:50;9,6
E39 Stordabrua;SN48070;28.01.2022 18:00;9,6
E39 Stordabrua;SN48070;28.01.2022 18:10;9,4
E39 Stordabrua;SN48070;28.01.2022 18:20;9,6
E39 Stordabrua;SN48070;28.01.2022 18:30;9,6
E39 Stordabrua;SN48070;28.01.2022 18:40;11,5
E39 Stordabrua;SN48070;28.01.2022 18:50;11,5
E39 Stordabrua;SN48070;28.01.2022 19:00;9,6
E39 Stordabrua;SN48070;28.01.2022 19:10;8,7
E39 Stordabrua;SN48070;28.01.2022 19:20;8,8
E39 Stordabrua;SN48070;28.01.2022 19:30;11
E39 Stordabrua;SN48070;28.01.2022 19:40;11
E39 Stordabrua;SN48070;28.01.2022 19:50;17,8
E39 Stordabrua;SN48070;28.01.2022 20:00;17,8
E39 Stordabrua;SN48070;28.01.2022 20:10;15,3
E39 Stordabrua;SN48070;28.01.2022 20:20;15,3
E39 Stordabrua;SN48070;28.01.2022 20:30;14,6
E39 Stordabrua;SN48070;28.01.2022 20:40;13,5
E39 Stordabrua;SN48070;28.01.2022 20:50;15,2
E39 Stordabrua;SN48070;28.01.2022 21:00;15,2
E39 Stordabrua;SN48070;28.01.2022 21:10;13,3
E39 Stordabrua;SN48070;28.01.2022 21:20;13,3
E39 Stordabrua;SN48070;28.01.2022 21:30;13,5
E39 Stordabrua;SN48070;28.01.2022 21:40;13,5
E39 Stordabrua;SN48070;28.01.2022 21:50;11
E39 Stordabrua;SN48070;28.01.2022 22:00;11
E39 Stordabrua;SN48070;28.01.2022 22:10;11,8
